date_notice,company,workforce_area,event_number,naics,action_type,affected,date_effective,reason,12/16/2020,"Neovia Logistics Services, LLC Southaven (DeSoto)",Delta,RR-MS- 2020-0013,333999 – All Other Miscellaneous General Purpose Machinery Manufacturing,Layoff,80,01/31/2021,WARN – Layoff - change in ownership. RR – provided by email due to COVID - 19,blank_entry,city,county,_int_raw_fields,_int_accuracy,_int_pdf_filename,_int_page,_int_table_number,_int_data_items
02/02/2021,"Purple Banana – McKenzie PB, LLC Bay St. Louis (Hancock)",Twin Districts,R R-MS- 2020-0019,311520 – Ice Cream and Frozen Dessert Manufacturing,Closure,8,01/31/2021,NON-WARN – Permanent closure due to reduction of sales and lack of work,,,,,,,,,,,,,"['02/02/2021', 'Purple Banana –\nMcKenzie PB, LLC \nBay St. Louis \n(Hancock)', 'Twin \nDistricts', 'R\nR-MS- \n2020-0019', '311520 – Ice \nCream and Frozen \nDessert \nManufacturing', 'Closure', '8', '01/31/2021', 'NON-WARN –\nPermanent closure due to \nreduction of sales and \nlack of work']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,1,1,9
03/09/2021,"Kline Mechanical System, Inc. Fulton (Itawamba)",MS Partnership,R R-MS- 2020-0020,"238220 – Plumbing, Heating and Air Conditioning Contractors",Layoff,42,02/15/2021,NON-WARN – Temporary closure for one week due to ice storm,,,,,,,,,,,,,"['03/09/2021', 'Kline Mechanical \nSystem, Inc. \nFulton (Itawamba)', 'MS \nPartnership', 'R\nR-MS-\n2020-0020', '238220 – \nPlumbing, Heating \nand Air \nConditioning \nContractors', 'Layoff', '42', '02/15/2021', 'NON-WARN – \nTemporary closure for \none week due to ice \nstorm']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,1,1,9
03/01/2021,AbilityWorks Oxford (Lafayette),MS Partnership,RR-MS- 2020-0021,624310 – Vocational Rehabilitation Services,Layoff,8,02/13/2021,NON-WARN – Temporary closure for one week due to ice storm,,,,,,,,,,,,,"['03/01/2021', 'AbilityWorks \nOxford (Lafayette)', 'MS \nPartnership', 'RR-MS-\n2020-0021', '624310 – \nVocational \nRehabilitation \nServices', 'Layoff', '8', '02/13/2021', 'NON-WARN – \nTemporary closure for \none week due to ice \nstorm']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,2,1,9
03/02/2021,"Marelli Cabin Comfort USA, Inc. Madison (Madison)",Southcentral MS Works,RR-MS- 2020-0022,423120 – Motor Vehicle Supplies and New Parts Merchant Wholesaler,Closure,68,04/13/2021,WARN – Permanently closing its facility – due to COVID-19,,,,,,,,,,,,,"['03/02/2021', 'Marelli Cabin \nComfort USA, Inc. \nMadison (Madison)', 'Southcentral \nMS Works', 'RR-MS-\n2020-0022', '423120 – Motor \nVehicle Supplies \nand New Parts \nMerchant \nWholesaler', 'Closure', '68', '04/13/2021', 'WARN – Permanently \nclosing its facility – due \nto COVID-19']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,2,1,9
03/11/2021,Saks Fifth Avenue,Southcentral MS Works,RR-MS- 2020-0023,452210- Undefined,Layoff,114,05/17/2021,WARN- Separations are due to Facility Reduction and are expected to be permanent.,,,,,,,,,,,,,"['03/11/2021', 'Saks Fifth Avenue', 'Southcentral \nMS Works', 'RR-MS-\n2020-0023', '452210- Undefined', 'Layoff', '114', '05/17/2021', 'WARN- Separations are \ndue to Facility Reduction \nand are expected to be \npermanent.']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,2,1,9
04/23/2021,"Montgomery Enterprises, Inc./Cash Title Exchange Tupelo (Lee)",MS Partnership,RR-MS- 2020-0024,522390 – Other Activities Related to Credit Intermediations,Layoff,6,04/22/2021,NON-WARN- COVID-19 created circumstances that were beyond our control,,,,,,,,,,,,,"['04/23/2021', 'Montgomery \nEnterprises, Inc./Cash \nTitle Exchange \nTupelo (Lee)', 'MS \nPartnership', 'RR-MS-\n2020-0024', '522390 – Other \nActivities Related \nto Credit \nIntermediations', 'Layoff', '6', '04/22/2021', 'NON-WARN- \nCOVID-19 created \ncircumstances that were \nbeyond our control']",99.99,warn-py2020-qtr-4-apr-june-2021.pdf,1,1,9
04/23/2021,Mississippi Lending Services Tupelo (Lee),MS Partnership,RR-MS- 2020-0025,522291 – Consumer Lending,Layoff,6,04/22/2021,NON-WARN- COVID-19 created circumstances that were beyond our control,,,,,,,,,,,,,"['04/23/2021', 'Mississippi Lending \nServices \nTupelo (Lee)', 'MS \nPartnership', 'RR-MS-\n2020-0025', '522291 – Consumer \nLending', 'Layoff', '6', '04/22/2021', 'NON-WARN- \nCOVID-19 created \ncircumstances that were \nbeyond our control']",99.99,warn-py2020-qtr-4-apr-june-2021.pdf,1,1,9
04/23/2021,"United Financial, Inc. Tupelo (Lee)",MS Partnership,RR-MS- 2020-0026,523930- Financial Planner and Investment Advisers,Layoff,6,04/22/2021,NON-WARN- COVID-19 created circumstances that were beyond our control,,,,,,,,,,,,,"['04/23/2021', 'United Financial, Inc. \nTupelo (Lee)', 'MS \nPartnership', 'RR-MS-\n2020-0026', '523930- Financial \nPlanner and \nInvestment \nAdvisers', 'Layoff', '6', '04/22/2021', 'NON-WARN- \nCOVID-19 created \ncircumstances that were \nbeyond our control']",99.99,warn-py2020-qtr-4-apr-june-2021.pdf,1,1,9
03/29/2021,"Ryder – McCormick and Company, Inc. Byhalia (Marshall)",MS Partnership,RR-MS- 2020-0027,311942 – Spice and Extract Manufacturing,Closure,60,06/01/2021,WARN- Due to a reduction in sales and customers’ changing business needs.,,,,,,,,,,,,,"['03/29/2021', 'Ryder – McCormick \nand Company, Inc. \nByhalia (Marshall)', 'MS \nPartnership', 'RR-MS-\n2020-0027', '311942 – Spice and \nExtract \nManufacturing', 'Closure', '60', '06/01/2021', 'WARN- Due to a \nreduction in sales and \ncustomers’ changing \nbusiness needs.']",99.99,warn-py2020-qtr-4-apr-june-2021.pdf,1,1,9
05/05/2021,Vantec Hitachi Transport System Canton (Madison),Southcentral MS Works,RR-MS- 2020-0028,493190 – Other Warehousing and Storage,Closure,337,06/30/2021,WARN- Due to a reduction in business needs,,,,,,,,,,,,,"['05/05/2021', 'Vantec Hitachi \nTransport System \nCanton (Madison)', 'Southcentral \nMS Works', 'RR-MS-\n2020-0028', '493190 – Other \nWarehousing and \nStorage', 'Closure', '337', '06/30/2021', 'WARN-  Due to a \nreduction in business needs']",99.99,warn-py2020-qtr-4-apr-june-2021.pdf,1,1,9
09/21/2021,"Anthem, Inc./ Beacon Health Options Hernando (Desoto)",Delta,RR-MS- 2021-0001,524114 – Direct Health and Medical Insurance Carriers,Layoff,4,12/31/2021,WARN – Due to loss of contract. RR – provided by email COVID-19,,,,,,,,,,,,,"['09/21/2021', 'Anthem, Inc./ \nBeacon Health \nOptions \nHernando (Desoto)', 'Delta', 'RR-MS- \n2021-0001', '524114 – Direct \nHealth and Medical \nInsurance Carriers', 'Layoff', '4', '12/31/2021', 'WARN – Due to loss of \ncontract. \nRR – provided by email \nCOVID-19']",100.0,warn-py2021-qtr-1-jul-sep-2021.pdf,1,1,9
