employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Thriveworks Counseling & Psychiatry,"Sep 25, 2023",1,WARN,Portland,04101,4 - Coastal Counties Local Area 4,"550 Forest Ave #201; Portland, Maine 04101",527,https://joblink.maine.gov/search/warn_lookups/527
Mi Pueblo Tacos y Tequila,"Oct 02, 2023",,Non-WARN,Biddeford,04005,4 - Coastal Counties Local Area 4,,528,https://joblink.maine.gov/search/warn_lookups/528
Jotul North America,"Oct 03, 2023",13,Non-WARN,Gorham,04038,4 - Coastal Counties Local Area 4,"55 Hutcherson Dr; Gorham, Maine 04038",529,https://joblink.maine.gov/search/warn_lookups/529
First Savings Bank,"Oct 06, 2023",1,WARN,Jeffersonville,47130,4 - Coastal Counties Local Area 4,"702 North Shore Dr ; Jeffersonville, Indiana 47130",530,https://joblink.maine.gov/search/warn_lookups/530
Flemish Master Weavers,"Oct 05, 2023",1,Non-WARN,Sanford,04073,4 - Coastal Counties Local Area 4,"96 Gatehouse Rd; Sanford, Maine 04073",531,https://joblink.maine.gov/search/warn_lookups/531
Brickhouse Restaurant,"Oct 17, 2023",13,Non-WARN,Skowhegan,04976,3 - Central Western Local Area 3,"147 Madison Ave; Skowhegan, Maine 04976",532,https://joblink.maine.gov/search/warn_lookups/532
Elevance Health,"Oct 02, 2023",7,Non-WARN,Norfolk,23502,4 - Coastal Counties Local Area 4,"5800 Northampton Blvd; Norfolk, Virginia 23502",533,https://joblink.maine.gov/search/warn_lookups/533
Radici,"Oct 27, 2023",1,Non-WARN,Portland,04101,4 - Coastal Counties Local Area 4,"52 Washington ave ; Portland, Maine 04101",534,https://joblink.maine.gov/search/warn_lookups/534
Hamilton Marine,"Oct 30, 2023",6,Non-WARN,Searsport,04974,4 - Coastal Counties Local Area 4,"155 E Main St; Searsport, Maine 04974",535,https://joblink.maine.gov/search/warn_lookups/535
Mainely Grass,"Nov 06, 2023",14,Non-WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"690 Stroudwater St; Westbrook, Maine 04092",536,https://joblink.maine.gov/search/warn_lookups/536
Migis Hotel Group,"Nov 14, 2023",,Non-WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,,537,https://joblink.maine.gov/search/warn_lookups/537
Friar's Brew House & Taproom,"Nov 03, 2023",2,Non-WARN,Bucksport,04416,4 - Coastal Counties Local Area 4,"55 Orcutt Mountain Road; Bucksport, Maine 04416",538,https://joblink.maine.gov/search/warn_lookups/538
Tiny Tikes Daycare,"Nov 06, 2023",15,Non-WARN,Trenton,04605,4 - Coastal Counties Local Area 4,"163 Bar Harbor Road ; Trenton , Maine 04605",539,https://joblink.maine.gov/search/warn_lookups/539
Greenhead Lobster Products LLC,"Oct 24, 2023",80,Non-WARN,Bucksport,04416,4 - Coastal Counties Local Area 4,"122 Heritage Park ; Bucksport, Maine 04416",540,https://joblink.maine.gov/search/warn_lookups/540
Part and Parcel,"Nov 27, 2023",1,Non-WARN,Biddeford,04005,4 - Coastal Counties Local Area 4,"17 Alfred St ; Biddeford, Maine 04005",541,https://joblink.maine.gov/search/warn_lookups/541
Island Dog Brewing,"Nov 22, 2023",1,Non-WARN,South Portland,04106,4 - Coastal Counties Local Area 4,"125 John Roberts Rd , Unit 15; South Portland, Maine 04106",542,https://joblink.maine.gov/search/warn_lookups/542
Yelloh!,"Nov 29, 2023",4,WARN,Gorham,04038,4 - Coastal Counties Local Area 4,"5 Hutcherson Dr; Gorham, Maine 04038",543,https://joblink.maine.gov/search/warn_lookups/543
Johanson Boatworks,"Dec 12, 2023",,Non-WARN,Rockland,04841,4 - Coastal Counties Local Area 4,,544,https://joblink.maine.gov/search/warn_lookups/544
Hometown Convenience,"Nov 23, 2023",4,Non-WARN,Boothbay Harbor,04538,4 - Coastal Counties Local Area 4,"107 Eastern Ave; Boothbay Harbor, Maine 04538",545,https://joblink.maine.gov/search/warn_lookups/545
D’tails Dog Grooming LLC,"Dec 01, 2023",4,Non-WARN,Brunswick,04011,4 - Coastal Counties Local Area 4,"33 Bath Rd Brunswick; Brunswick, Maine 04011",546,https://joblink.maine.gov/search/warn_lookups/546
Yankee Lanes,"May 21, 2022",15,Non-WARN,Brunswick,04011,4 - Coastal Counties Local Area 4,"276 Bath Road; Brunswick, Maine 04011",418,https://joblink.maine.gov/search/warn_lookups/418
Village Soup,"Jan 13, 2022",3,Non-WARN,Camden,04843,4 - Coastal Counties Local Area 4,"6 Virginia Ave.; Camden, Maine 04843",401,https://joblink.maine.gov/search/warn_lookups/401
Purestat,"Jan 10, 2022",26,Non-WARN,Lewiston,04240,3 - Central Western Local Area 3,"21 Old Farm Road; Lewiston, Maine 04240",402,https://joblink.maine.gov/search/warn_lookups/402
NEUCO,"Feb 01, 2022",5,Non-WARN,Lawrence,01843,4 - Coastal Counties Local Area 4,"94 Glenn Street; Lawrence, Massachusetts 01843",403,https://joblink.maine.gov/search/warn_lookups/403
Stage Neck Inn,"Feb 01, 2022",15,Non-WARN,York Harbor,03911,4 - Coastal Counties Local Area 4,"PO Box 70; York Harbor, Maine 03911",404,https://joblink.maine.gov/search/warn_lookups/404
Mike's Clam Shop,"Feb 01, 2022",17,Non-WARN,Wells,04090,4 - Coastal Counties Local Area 4,"1150 Post Rd; Wells, Maine 04090",405,https://joblink.maine.gov/search/warn_lookups/405
Shaw's Supermarket,"Feb 23, 2022",0,Non-WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"Main Street; Westbrook, Maine 04092",406,https://joblink.maine.gov/search/warn_lookups/406
Dollar Tree,"Feb 23, 2022",9,Non-WARN,Millinocket,04462,1 - Northeastern Workforce Board,"784 Central Street; Millinocket, Maine 04462",407,https://joblink.maine.gov/search/warn_lookups/407
University of New England,"Feb 24, 2022",6,Non-WARN,Biddeford,04005,4 - Coastal Counties Local Area 4,"11 Hills Beach Road; Biddeford, Maine 04005",408,https://joblink.maine.gov/search/warn_lookups/408
Whiting Farm,"Mar 11, 2022",7,Non-WARN,Auburn,04210,3 - Central Western Local Area 3,"882 Summer Street; Auburn, Maine 04210",409,https://joblink.maine.gov/search/warn_lookups/409
Grand Isle General Store,"Mar 01, 2022",2,Non-WARN,Grand Isle,04746,1 - Northeastern Workforce Board,"364 Main Street; Grand Isle, Maine 04746",410,https://joblink.maine.gov/search/warn_lookups/410
ProKnee,"Mar 07, 2022",7,Non-WARN,Whitefield,04353,4 - Coastal Counties Local Area 4,"137 Devine Road; Whitefield, Maine 04353",411,https://joblink.maine.gov/search/warn_lookups/411
ON Semiconductor,"Mar 01, 2022",19,Non-WARN,South Portland,04106,4 - Coastal Counties Local Area 4,"33 Western Avenue; South Portland, Maine 04106",412,https://joblink.maine.gov/search/warn_lookups/412
Machias Veteran' Home,"Mar 01, 2022",48,Non-WARN,Machias,04654,1 - Northeastern Workforce Board,"32 Veteran's Way; Machias, Maine 04654",413,https://joblink.maine.gov/search/warn_lookups/413
RA Paradis,"Mar 31, 2022",2,Non-WARN,Newport,04953,1 - Northeastern Workforce Board,"81 Blaisdell Road; Newport, Maine 04953",414,https://joblink.maine.gov/search/warn_lookups/414
Mid-Coast Dermatology,"Mar 31, 2022",2,Non-WARN,Brunswick,04011,4 - Coastal Counties Local Area 4,"85 Baribeau Drive; Brunswick, Maine 04011",415,https://joblink.maine.gov/search/warn_lookups/415
Maine Natural Health,"Apr 26, 2022",5,Non-WARN,Warren,04864,4 - Coastal Counties Local Area 4,"825 Atlantic Highway; Warren, Maine 04864",416,https://joblink.maine.gov/search/warn_lookups/416
Burrelle's,"Apr 18, 2022",3,Non-WARN,Presque Isle,04769,1 - Northeastern Workforce Board,"21 North Street #B; Presque Isle, Maine 04769",417,https://joblink.maine.gov/search/warn_lookups/417
Trails n Ales,"May 14, 2022",16,Non-WARN,Gray,04039,4 - Coastal Counties Local Area 4,"64 Lewiston Road; Gray, Maine 04039",419,https://joblink.maine.gov/search/warn_lookups/419
Beach Cove Waterfront Inn,"May 24, 2022",1,Non-WARN,Boothbay Harbor,04538,4 - Coastal Counties Local Area 4,"43 Lakeview Road; Boothbay Harbor, Maine 04538",420,https://joblink.maine.gov/search/warn_lookups/420
The Roost,"May 02, 2022",5,Non-WARN,Calais,04619,1 - Northeastern Workforce Board,"439 Main Street; Calais, Maine 04619",421,https://joblink.maine.gov/search/warn_lookups/421
Scarborough Downs,"May 31, 2022",10,Non-WARN,Scarborough,04074,4 - Coastal Counties Local Area 4,"90 Payne Road; Scarborough, Maine 04074",422,https://joblink.maine.gov/search/warn_lookups/422
Mexico One Stop,"Jun 02, 2022",5,Non-WARN,Mexico,04257,3 - Central Western Local Area 3,"1 Harlow Hill Road; Mexico, Maine 04257",424,https://joblink.maine.gov/search/warn_lookups/424
Wander Pizza,"Jun 10, 2022",8,Non-WARN,Augusta,04330,3 - Central Western Local Area 3,"265 Western Avenue; Augusta, Maine 04330",425,https://joblink.maine.gov/search/warn_lookups/425
Gray Owl,"Nov 08, 2022",6,Non-WARN,Rockland,04841,4 - Coastal Counties Local Area 4,"2 Park Drive; Rockland, Maine 04841",445,https://joblink.maine.gov/search/warn_lookups/445
Cafe Miranda,"Jun 15, 2022",12,Non-WARN,Rockland,04841,4 - Coastal Counties Local Area 4,"12 Oak Street; Rockland, Maine 04841",427,https://joblink.maine.gov/search/warn_lookups/427
Kamasouptra,"Jun 07, 2022",2,Non-WARN,Portland,04101,4 - Coastal Counties Local Area 4,"28 Monument Square; Portland, Maine 04101",428,https://joblink.maine.gov/search/warn_lookups/428
Mars Hill Health Center,"Jun 28, 2022",3,Non-WARN,Mars Hill,04758,1 - Northeastern Workforce Board,"106 Main Street; Mars Hill, Maine 04758",429,https://joblink.maine.gov/search/warn_lookups/429
Wentworth Family Corner Store,"Jun 30, 2022",6,Non-WARN,Frankfort,04438,4 - Coastal Counties Local Area 4,"18 South Main Rd; Frankfort, Maine 04438",430,https://joblink.maine.gov/search/warn_lookups/430
Smokin' Dave's BBQ and Grill,"Jul 08, 2022",10,Non-WARN,Norway,04268,3 - Central Western Local Area 3,"240 Main Street; Norway, Maine 04268",431,https://joblink.maine.gov/search/warn_lookups/431
Petrillo's Food,"Jul 15, 2022",12,Non-WARN,Freeport,04032,4 - Coastal Counties Local Area 4,"15 Depot Street; Freeport, Maine 04032",433,https://joblink.maine.gov/search/warn_lookups/433
Green Tea Restaurant,"Jul 28, 2022",17,Non-WARN,Sanford,04073,4 - Coastal Counties Local Area 4,"1005 Main Street; Sanford, Maine 04073",434,https://joblink.maine.gov/search/warn_lookups/434
Boondock's Grille,"Sep 22, 2022",0,Non-WARN,Fort Fairfield,04742,1 - Northeastern Workforce Board,"294 Main Street; Fort Fairfield, Maine 04742",435,https://joblink.maine.gov/search/warn_lookups/435
Paul's Gas and Car Wash,"Sep 22, 2022",2,Non-WARN,Frenchville,04745,1 - Northeastern Workforce Board,"355 US 1; Frenchville, Maine 04745",436,https://joblink.maine.gov/search/warn_lookups/436
Olympia Sports,"Sep 22, 2022",0,Non-WARN,Presque Isle,04769,1 - Northeastern Workforce Board,"830 Main Street Unit 13; Presque Isle, Maine 04769",437,https://joblink.maine.gov/search/warn_lookups/437
