Company,Date,PDF url,location,jobs
Enterprise Holdings,"April 27, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.27-Enterprise-Holdings.pdf,,
Hard Rock Cafe International STP,"April 27, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.27-Hard-Rock-Cafe-International-STP-Inc.pdf,,
Nico’s Upstairs Steak & Seafood ,"April 27, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.27-Nicos-Upstairs-Steak-Seafood.pdf,,
Enterprise Holdings,"April 27, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.28-Enterprise-Holdings.pdf,,
"Finest Food Company, Inc.","May 1, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.01-Finest-Food-Company-Inc.pdf,,
"Flying Food Group, LLC","May 1, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.01-Flying-Food-Group-LLC.pdf,,
Prince Resorts Hawaii and Prince Waikiki,"May 4, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.04-Price-Resorts-Hawaii-and-Price-Wakiki.pdf,,
Servco Home & Appliance Distribution Division,"May 4, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.04-Servco-Home-Appliance-Distribution-Division.pdf,,
The Hertz Corporation,"May 4, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.04-The-Hertz-Corporation.pdf,,
Westin Hapuna Beach Resort & Mauna Kea Beach Hotel ,"May 4, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.04-Westin-Hapuna-Beach-Resort-Mauna-Kea-Beach-Hotel.pdf,,
Red Lobster,"May 11, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.11-Red-Lobster.pdf,,
Sheraton Kauai Coconut Beach Resort,"May 12, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.12-Sheraton-Kauai-Coconut-Beach-Resort.pdf,,
Watabe Wedding Corp,"May 14, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.14-Watabe-Wedding-Corp.pdf,,
Adventist Health,"May 15, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.15-Adventist-Health_redacted.pdf,,
Flying Food Group LLC – Kailua-Kona,"May 15, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.15-Flying-Food-Group-LLC-Kailua-Kona_redacted.pdf,,
Flying Food Group LLC – Lihue,"May 15, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.15-Flying-Food-Group-LLC-Lihue_redacted.pdf,,
Gate Gourmet,"May 20, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.20-Gate-Gourmet_redacted.pdf,,
The Art Source,"May 22, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.22-The-Art-Source-Inc.pdf,,
Adventist Health,"May 26, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.26-Adventist-Health.pdf,,
The Hertz Corporation,"May 26, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.05.26-The-Hertz-Corporation-Maui-Hnl.pdf,,
Koloa Landing Resort,"May 29, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.05.29-Koloa-Landing-Resort.pdf,,
Timbers Resorts Kauai,"May 29, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.05.29-Timbers-Resorts-Kauai_redacted.pdf,,
Waikoloa Beach Marriott Resort & Spa,"June 1, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.01-Waikoloa-Beach-Marriott-Resort-Spa.pdf,,
"* Waikoloa Beach Marriott Resort & Spa Amended June 9, 2020","* Waikoloa Beach Marriott Resort & Spa Amended June 9, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.09-Waikoloa-Beach-Marriort-Resort-Spa-Amended.pdf,,
The Westin Maui Resort & Spa Kaanapali,"June 2, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.02-The-Westin-Maui-Resort-Spa-Kaanapali.pdf,,
Marriott International,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Marriott-International.pdf,,
Moana Surfrider Hotel,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Moana-Surfrider-Hotel.pdf,,
Royal Hawaiian Hotel,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Royal-Hawaiian-Hotel.pdf,,
Sheraton Maui Hotel,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Sheraton-Maui-Hotel.pdf,,
Sheraton Princess Kaiulani Hotel,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Sheraton-Princess-Kaiulani-Hotel.pdf,,
Sheraton Waikiki Hotel & Central Resources Team,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Sheraton-Waikiki-Hotel-Central-Resources-Team.pdf,,
Tropical Plantation & The Mill House,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Tropical-Plantation-The-Mill-House_redacted.pdf,,
Waikiki Beach Marriott Resort & Spa,"June 4, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.04-Waikiki-Beach-Marriott-Resort-Spa.pdf,,
Gate Gourmet,"June 5, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.05-Gate-Goumets-HNL_redacted.pdf,,
Residence Inn Maui Wailea,"June 5, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.05-Residence-Inn-Maui-Wailea.pdf,,
Wailea Beach Resort Marriott-Maui,"June 5, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.05-Wailea-Beach-Resort-Marriott-Maui.pdf,,
Courtyard by Marriott Maui Kahului Airport,"June 8, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.08-Courtyard-by-Marriott-Maui-Kahului-Airport.pdf,,
"The Ritz-Carlton Residences, Waikiki Beach","June 8, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.08-The-Ritz-Carlton-Residences-Waikiki-Beach.pdf,,
Alohilani Resort Waikiki Beach,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Alohilani-Resort-Waikiki-Beach.pdf,,
Ambassador Hotel Waikiki,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Ambassador-Hotel-Waikiki.pdf,,
