Company,Date,PDF url,location,jobs
West Maui Resorts Partners LP,"October 11, 2021 West Maui Resorts Partners LP",https://labor.hawaii.gov/wdc/files/2021/10/20211008-WARN-Hawaii-HDWA-Notice-to-DLIR-10.8.21.pdf,,
Hawaii Medical Service Association,"October 26, 2021 Hawaii Medical Service Association",https://labor.hawaii.gov/wdc/files/2022/03/10.26.21-HMSA.pdf,,
Kamehameha Schools,"October 27, 2021 Kamehameha Schools",https://labor.hawaii.gov/wdc/files/2022/03/20211027-WARN-Kamehameha-Schools.pdf,,
"Kai Management Services, LLC","January 14, 2022",https://labor.hawaii.gov/wdc/files/2022/03/01.14.22-Kai-Management-Services-LLC.pdf,,
"Jan-Guard Hawaii, Inc.","January 14, 2022",https://labor.hawaii.gov/wdc/files/2023/03/January-14-2022-Jan-Guard-Hawaii-Inc._Redacted.pdf,,
"Kai Management Services, LLC (Pagoda Hotel)","January 19, 2022",https://labor.hawaii.gov/wdc/files/2023/03/January-19-2022-Kai-Management-Services-LLC-Pagoda-Hotel.pdf,,
Kai Management Services LLC (Pagoda Hotel),"January 28, 2022",https://labor.hawaii.gov/wdc/files/2023/03/January-28-2022-Kai-Management-Services-LLC-Pagoda-Hotel_Redacted.pdf,,
"Foodland Super Market, Limited","March 23, 2022",https://labor.hawaii.gov/wdc/files/2022/03/Foodland-WARN_Redacted-1.pdf,,
Fidelity National Information Services,"March 24, 2022",https://labor.hawaii.gov/wdc/files/2022/03/Fidelity-National.pdf,,
Resort Management Group LLC,"April 22, 2022",https://labor.hawaii.gov/wdc/files/2022/04/RR.pdf,,
Aqua Aston Hospitality,"May 20, 2022",https://labor.hawaii.gov/wdc/files/2022/05/05.20.22-WARN-Aqua-Aston-Hospitality-LLC.pdf,,
"Hawaii Veterinary Hospital, LLC","June 17, 2022",https://labor.hawaii.gov/wdc/files/2022/06/06.17.22-WARN-HI-Veterainary-Hospital-LLC-dba-Petvet-Animal-Hospital.pdf,,
JTB Hawaii Inc.,"August 1, 2022",https://labor.hawaii.gov/wdc/files/2022/08/20220801-WARN-JTB-Hawaii-Inc.pdf,,
Ito Family Holding Corp.,"August 1, 2022",https://labor.hawaii.gov/wdc/files/2022/08/20220801-WARN-Ito-Family-Holdings-Corp.pdf,,
Goodwill Contract Services of Hawaii,"August 2, 2022",https://labor.hawaii.gov/wdc/files/2022/08/08.02.22-Goodwill-Contract-Services-of-Hawaii_Facility-Closure-Notice.pdf,,
McDonald’s Haleiwa,"August 3, 2022",https://labor.hawaii.gov/wdc/files/2023/03/August-3-2022-McDonalds-Haleiwa.pdf,,
McDonald’s Laie,"August 3, 2022",https://labor.hawaii.gov/wdc/files/2023/03/August-3-2022-McDonalds-Laie.pdf,,
McDonald’s Temple Valley,"August 3, 2022",https://labor.hawaii.gov/wdc/files/2023/03/August-3-2022-McDonalds-Temple-Valley.pdf,,
BAE Systems,"August 4, 2022",https://labor.hawaii.gov/wdc/files/2022/08/08.04.22-Agency-Notification-WARN-BAE-Systems.pdf,,
Honolulu Country Club LLC,"August 5, 2022",https://labor.hawaii.gov/wdc/files/2023/03/August-5-2022-Honolulu-Club-LLC_Redacted.pdf,,
Just in Time Foods Windward Inc. ,"August 5, 2022",https://labor.hawaii.gov/wdc/files/2022/08/08.01.22-WARN-McDonalds-Temple-Valley.pdf,,
Just in Time Foods Pacific Inc. ,"August 5, 2022",https://labor.hawaii.gov/wdc/files/2022/08/08.01.22-WARN-McDonalds-Laie.pdf,,
Just In Time Foods Inc. ,"August 5, 2022",https://labor.hawaii.gov/wdc/files/2022/08/08.01.22-WARN-McDonalds-Haleiwa.pdf,,
SAS Airport Services Hawaii Inc,"August 24, 2022",https://labor.hawaii.gov/wdc/files/2023/01/August-22-2022-SAS-Airport-Services-Hawaii-Inc.pdf,,
"SAS Airport Services Hawaii, Inc.","September 12, 2022",https://labor.hawaii.gov/wdc/files/2022/09/20220824-WARN-SAS-Airport-Services-Hawaii-Inc.pdf,,
HPG Corporation,"September 16, 2022",https://labor.hawaii.gov/wdc/files/2023/03/September-16-2022-HPG-Corporation_Redacted.pdf,,
Ekahi Health,"September 29, 2022",https://labor.hawaii.gov/wdc/files/2022/10/06.29.22-Ekahi-Health.pdf,,
Atria Management Company,"October 1, 2022",https://labor.hawaii.gov/wdc/files/2023/01/October-1-2022-Atria-Management-Company.pdf,,
Pharmacare Hawaii,"October 3, 2022",https://labor.hawaii.gov/wdc/files/2023/03/October-3-2022-Pharmacare-Hawaii_Redacted.pdf,,
Atria Senior Living,"October 11, 2022",https://labor.hawaii.gov/wdc/files/2022/10/20221011-WARN-Atria-Management-Company.pdf,,
Paradise Beverages Inc. dba Hawaii Coffee Company,"October 11, 2022",https://labor.hawaii.gov/wdc/files/2023/01/October-11-2022-Paradise-Beverages-Inc.-dba-Hawaii-Coffee-Company.pdf,,
"Paradise Beverages, Inc.","October 14, 2022",https://labor.hawaii.gov/wdc/files/2023/03/October-14-2022-Paradise-Beverages-Inc._Redacted.pdf,,
Scanlan Management LLC dba Jack in the Box Hawaii,"October 14, 2022",https://labor.hawaii.gov/wdc/files/2023/03/October-14-2022-Scanlan-Mgmt-LLC-dba-Jack-in-the-Box-Hawaii.pdf,,
"Sutter Health, Kahi Mohala","October 14, 2022",https://labor.hawaii.gov/wdc/files/2023/01/October-14-2022-Sutter-Health-Kahi-Mohala.pdf,,
Kona Transportation Company Inc,"October 31, 2022",https://labor.hawaii.gov/wdc/files/2023/01/October-31-2022-Kona-Transportation-Company-Inc.-1.pdf,,
Jamba Juice,"November 17, 2022",https://labor.hawaii.gov/wdc/files/2023/01/November-17-2022-Jamba-Juice.pdf,,
"Sutter Health, Kahi Mohala","January 17, 2023",https://labor.hawaii.gov/wdc/files/2023/01/January-17-2023-Sutter-Health-Kahi-Mohala.pdf,,
Far East Hoken Group Inc.,"February 13, 2023",https://labor.hawaii.gov/wdc/files/2023/02/WARN-Far-East-Hoken-Group-Inc_02-16-23._Redacted.pdf,,
FedEx Ground,"March 3, 2023",https://labor.hawaii.gov/wdc/files/2023/03/March-3-2023-FedEx-Ground.pdf,,
Waikiki Malia by Outrigger,"March 6, 2023",https://labor.hawaii.gov/wdc/files/2023/03/March-6-2023-Waikiki-Malia-by-Outrigger.pdf,,
Walmart Store 3149,"March 23, 2023",https://labor.hawaii.gov/wdc/files/2023/03/March-23-2023-Walmart-Store-3149.pdf,,
"KCP Plumbing Holdings Acquisition Sub, LLC dba Steves Plumbing and AC Service","April 3, 2023",https://labor.hawaii.gov/wdc/files/2023/04/April-3-2023-KCP-Plumbing-Holdings-Acquisition-Sub-LLC-dba-Steves-Plumbing-and-AC-Service.pdf,,
"Sutter Health, Kahi Mohala – Transition Cancelled","April 4, 2023",https://labor.hawaii.gov/wdc/files/2023/04/April-4-2023-Sutter-Health-Kahi-Mohala-Transition-Cancelled.pdf,,
"Niko’s Yard and Hauling Service, LLC","May 10, 2023",https://labor.hawaii.gov/wdc/files/2023/05/May-10-2023-Nikos-Yard-and-Hauling-Service-LLC_Redacted.pdf,,
"Orthopedic Associates of Hawaii, LLP","May 19, 2023",https://labor.hawaii.gov/wdc/files/2023/06/May-19-2023-Orthopedic-Associates-of-Hawaii-LLP.pdf,,
Ka’anapali Beach Hotel and The Plantation Inn ,"May 23, 2023",https://labor.hawaii.gov/wdc/files/2023/06/May-23-2023-Kaanapali-Beach-Hotel-and-The-Plantation-Inn-redacted.pdf,,
"Aloha Auto Group, Ltd","May 30, 2023",https://labor.hawaii.gov/wdc/files/2023/06/May-30-2023-Aloha-Auto-Group-Ltd.pdf,,
Los Angeles Times,"June 7, 2023",https://labor.hawaii.gov/wdc/files/2023/06/Los-Angeles-Times.pdf,,
"BWRD, LLC","June 15, 2023",https://labor.hawaii.gov/wdc/files/2023/06/June-15-2023-BWRD-LLC_Redacted.pdf,,
KBR Manager LLC dba Kauai Beach Resort & Spa,"June 22, 2023",https://labor.hawaii.gov/wdc/files/2023/06/June-22-2023-KBR-Manager-LLC-dba-Kauai-Beach-Resort-Spa.pdf,,
"Island Distributing, LLC","June 28, 2023",https://labor.hawaii.gov/wdc/files/2023/07/June-28-2023-Island-Distributing-LLC.pdf,,
"PBS West, LLC","July 7, 2023",https://labor.hawaii.gov/wdc/files/2023/08/July-7-2023-PBS-West-LLC.pdf,,
"Dust-Tex Honolulu, Inc.","August 1, 2023",https://labor.hawaii.gov/wdc/files/2023/08/August-1-2023-Dust-Tex-Honolulu-Inc.pdf,,
"Hakuyosha International, Inc.","August 1, 2023",https://labor.hawaii.gov/wdc/files/2023/08/August-1-2023-Hakuyosha-International-Inc.pdf,,
FedEx Ground,"August 4, 2023",https://labor.hawaii.gov/wdc/files/2023/09/August-4-2023-FedEx-Ground.pdf,,
Maui Linen Supply LLC,"August 25, 2023",https://labor.hawaii.gov/wdc/files/2023/08/August-25-2023-Maui-Linen-Supply-LLC.pdf,,
"J/R Motors 818 Kapiolani, LLC dba Mercedes-Benz of Honolulu","September 15, 2023",https://labor.hawaii.gov/wdc/files/2023/09/DWA-Notice-to-DLIR-J_R-Motors-818-Kapiolani-LLC-CS-00000002.pdf,,
Aqua Aston Hospitality,"November 3, 2023",https://labor.hawaii.gov/wdc/files/2023/11/November-3-2023-Aqua-Aston-Hospitality.pdf,,
"Apple Store, Royal Hawaiian","November 17, 2023",https://labor.hawaii.gov/wdc/files/2023/11/November-17-2023-Apple-Store-Royal-Hawaiian.pdf,,
"National Vision, Inc.","December 15, 2023",https://labor.hawaii.gov/wdc/files/2023/12/December-15-2023-National-Vision-Inc.pdf,,
Springboard Hospitality,"December 22, 2023",https://labor.hawaii.gov/wdc/files/2024/01/December-22-2023-Springboard-Hospitality.pdf,,
