action,address,city,company,county,date_close,date_start,extras,includes,jobs,link,reason,titles
Company closure,,"Grand Rapids, Michigan","Utz Quality Foods, LLC",Kent,,"January 30, 2026",Closure 2025 Kent,,75,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-31_WARN-Notice_Utz-Quality-Foods.pdf?rev=4bbd01d7830742deab3a90341b425d15,,
Layoff,,"Detroit, Michigan","PepsiCo, Inc.",Wayne,,"August 25, 2025",Layoff 2025 Wayne,,84,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-21_WARN-Notice_PepsiCo-Inc.pdf?rev=5f7af67bbfd74845b636f27e7da0e3f8,,
Facility closure,,"Grand Rapids, Michigan",SalonCentric,Kent,,"September 13, 2025",Closure 2025 Kent,,79,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-15_WARN-Notice_SalonCentric.pdf?rev=e3f89bf5e55748f88e927c2e09cdfbf6,,
Company closure,,"Zeeland, Michigan and Traverse City, Michigan",Howard Miller Company,Ottawa and Grand Traverse,,"September 7, 2025",Closure 2025 Grand Traverse Ottawa,,"138 (133 Zeeland, 5 Traverse City)",https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-09_WARN-Notice_Howard-Miller-Company.pdf?rev=9a950e14b95e4824916c60db4764b3da,,
Mass layoff,,"Lansing, Michigan",BRP Marine US Inc.,Ingham,,"July 8, 2025",Layoff 2025 Ingham,,72,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-08_WARN-Notice_BRP-Marine-US-Inc.pdf?rev=c1321f6247554234871c3622be4789ac,,
Company Closure,,"Marshall, Michigan",Marshall Excelsior Co.,Calhoun,,"September 26, 2025",Closure 2025 Calhoun,,71,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-08_WARN-Notice_Marshall-Excelsior-Co.pdf?rev=fb2f5515fffa4527b3eab8db7c323ac5,,
Mass layoff,,"Grand Rapids, Michigan","Plasan North America, Inc.",Kent,,"July 2, 2025",Layoff 2025 Kent,,64,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-07_WARN-Notice_Plasan-North-America-Inc.pdf?rev=b1fa60a3c8694b138222feb14d4b6cf6,,
Layoff,,"New Hudson, Michigan",Webasto Roof Systems,Oakland,,"June 19, 2025",Layoff 2025 Oakland,,62,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-06-25_WARN-Notice_Webasto-Roof-Systems-Inc.pdf?rev=a022739fd2334ecfb48eba3135552859,,
Facility closure,,"New Boston, Michigan",Auto Warehousing Company,Wayne,,"September 1, 2025",Closure 2025 Wayne,,75,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-04_WARN-Notice_Auto-Warehousing-Company.pdf?rev=ca1e83a5bc8d4f1ea88f2081eddad60a,,
Layoff,,Statewide,"Kelly Services USA, LLC",Statewide,,"August 30, 2025",Layoff 2025 Statewide,,47,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-01_WARN-Notice_Kelly-Services-Inc.pdf?rev=e9e4aedde902435c87869607f125f0ed,,
