Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Derse Inc.,Milwaukee,87,6/12/2020,WR,06/11/2020,Sign Mfg.,Milwaukee,Milwaukee
Hyatt Corporation,Green Bay,42,6/15/2020,WR,03/22/2020,Hotels & Motels exc Casino Hotels,Brown,Bay Area
Hyatt Corporation - Revision 1,Green Bay,42,9/8/2020,LS,06/12/2020,Hotels & Motels exc Casino Hotels,Brown,Bay Area
Catalytic Combustion,Bloomer,26,6/15/2020,WR,06/07/2020,Air Purification Equip Mfg,Chippewa,West Central
Novares Americas Engine Components Inc,Richland Center,74,6/17/2020,CL,08/17/2020,All Other Plastics Product Mfg.,Richland,Southwest
American Phoenix,Eau Claire,46,6/19/2020,WR,06/19/2020,All Other Rubber Product Mfg,Eau Claire,West Central
"Graceland Fruit Wisconsin, Inc.",Warrens,65,6/23/2020,CL,06/18/2020,Dried & Dehydrated Food Mfg,Monroe,Western
"Demco, Inc.","Madison, Deforest",38,6/25/2020,WR,08/03/2020,Office Supplies Merch Whls,Dane,South Central
Levy Premium Food Service at Fiserv Forum,Milwaukee,47,6/25/2020,WR,08/01/2020,Food Service Contractors,Milwaukee,Milwaukee
Levy Premium Food Service at Wisconsin Center District,Milwaukee,25,6/25/2020,WR,08/01/2020,Food Service Contractors,Milwaukee,Milwaukee
ALG Vacations,Milwaukee,149,6/25/2020,WR,07/01/2020,Tour Operators,Milwaukee,Milwaukee
ALG Vacations - Revision 1,Milwaukee,151,7/7/2020,"AW, LS",07/01/2020,Tour Operators,Milwaukee,Milwaukee
Hilton Madison Monona Terrace,Madison,40,6/25/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hilton Madison Monona Terrace - Revision 1,Madison,49,8/5/2020,AW,07/31/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hilton Madison Monona Terrace - Revision 2,Madison,56,9/30/2020,AW,07/31/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hilton Milwaukee City Center,Milwaukee,211,6/25/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Hilton Milwaukee City Center - Revision 1,Milwaukee,217,8/6/2020,AW,08/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
The Pfister Hotel,Milwaukee,89,6/25/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Pfister Hotel - Revision 1,Milwaukee,128,8/6/2020,AW,08/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Saint Kate - The Arts Hotel,Milwaukee,42,6/25/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Saint Kate - Revision 1,Milwaukee,111,8/6/2020,AW,08/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
SafeHouse Milwaukee,Milwaukee,1,6/25/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Safehouse Milwaukee - Revision 1,Milwaukee,42,6/30/2020,AW,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Safehouse Milwaukee - Revision 2,Milwaukee,52,8/6/2020,AW,08/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Wisconsin Hospitality Linen Service,Milwaukee,1,6/25/2020,WR,07/31/2020,Linen Supply,Milwaukee,Milwaukee
Marcus Hotels,Milwaukee,13,6/25/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Grand Geneva Resort & Spa,Lake Geneva,23,6/26/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Grand Geneva Resort & Spa - Revision 1,Lake Geneva,60,8/5/2020,AW,08/31/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Grand Geneva Resort & Spa - Revision 2,Lake Geneva,71,9/14/2020,"AW, LS",09/30/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Timber Ridge Lodge & Waterpark,Lake Geneva,5,6/26/2020,WR,07/31/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Briggs & Stratton,Wauwatosa,228,6/26/2020,WR,08/28/2020,Motor & Generator Mfg,Milwaukee,Milwaukee
Briggs & Stratton - Revision 1,Wauwatosa,184,8/14/2020,"LS, AW",9/25/2020,Motor & Generator Mfg,Milwaukee,Milwaukee
Adecco USA Inc.,Wauwatosa,120,6/29/2020,WR,08/28/2020,Motor & Generator Mfg,Milwaukee,Milwaukee
GE Healthcare,Wauwatosa,123,6/30/2020,WR,08/31/2020,Medical Equip Merch Whls,Milwaukee,Milwaukee
Covia Corp.,Tomah,32,5/4/2020,WR,05/04/2020,Ind Sand Mining,Monroe,Western
Holy Family College,Manitowoc,110,5/6/2020,CL,05/06/2020,Colleges & Universities,Manitowoc,Bay Area
Badger Mining Corporation,Taylor,38,5/14/2020,WR,05/14/2020,Ind Sand Mining,Jackson,Western
Atrium Hospitality,Middleton,125,5/18/2020,WR,03/12/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Foremost Farms USA,Chilton,50,5/18/2020,CL,07/17/2020,Cheese Mfg,Calumet,Fox Valley
"Wigwam Mills, Inc.",Sheboygan,121,5/22/2020,WR,06/01/2020,Other Hosiery & Sock Mills,Sheboygan,Bay Area
Documation LLC,Eau Claire,28,5/26/2020,WR,06/09/2020,Commercial Gravure Printing,Eau Claire,West Central
BRP US,Sturtevant,387,5/27/2020,WR,05/27/2020,Other Engine Equip Mfg,Racine,Southeast
BRP US - Revision 1,Sturtevant,363,5/27/2020,AW,05/27/2020,Other Engine Equip Mfg,Racine,Southeast
Alkar-Rapid Pak Inc.,Lodi,25,5/28/2020,WR,05/18/2020,Food Product Machinery Mfg,Columbia,South Central
AJLS Enterprises Inc.,Madison,56,4/2/2020,WR,04/03/2020,Ice Cream & Frozen Dessert Mfg,Dane,South Central
PlayMonster LLC,Beloit,31,4/2/2020,WR,04/06/2020,"Doll, Toy, & Game Mfg",Rock,Southwest
Bartaco,Madison,67,4/2/2020,CL,03/21/2020,Full-service restaurants,Dane,South Central
"Chandler Exhibits, Inc.",Hudson,34,4/2/2020,CL,03/25/2020,Other Specialized Design Services,St. Croix,West Central
Bernick's,"Dresser, Superior",25,4/3/2020,WR,04/01/2020,Other Grocery Product Merch Whls,"Polk, Douglas","West Central, Northwest"
Caleres Inc,Port Washington,213,4/3/2020,CL,03/20/2020,Footwear Merch Whls,Ozaukee,WOW
Caleres/Woodlore Manufacturing,Port Washington,28,4/3/2020,CL,03/20/2020,Misc Wood Product Mfg,Ozaukee,WOW
